in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.0E+00,1.000E+02,-1.907E+01,8.306E+01,2.500E-01
2.0E+00,1.259E+02,-1.709E+01,8.146E+01,2.500E-01
3.0E+00,1.585E+02,-1.517E+01,7.938E+01,2.500E-01
4.0E+00,1.995E+02,-1.327E+01,7.679E+01,2.500E-01
5.0E+00,2.512E+02,-1.141E+01,7.370E+01,2.500E-01
6.0E+00,3.162E+02,-9.572E+00,7.003E+01,2.500E-01
7.0E+00,3.981E+02,-7.871E+00,6.553E+01,2.500E-01
8.0E+00,5.012E+02,-6.290E+00,6.026E+01,2.500E-01
9.0E+00,6.310E+02,-4.902E+00,5.446E+01,2.500E-01
1.0E+01,7.943E+02,-3.690E+00,4.821E+01,2.500E-01
1.1E+01,1.000E+03,-2.692E+00,4.171E+01,2.500E-01
1.2E+01,1.259E+03,-1.916E+00,3.543E+01,2.500E-01
1.3E+01,1.585E+03,-1.344E+00,2.957E+01,2.500E-01
1.4E+01,1.995E+03,-9.249E-01,2.433E+01,2.500E-01
1.5E+01,2.512E+03,-6.386E-01,1.981E+01,2.500E-01
1.6E+01,3.162E+03,-4.504E-01,1.603E+01,2.500E-01
1.7E+01,3.981E+03,-3.179E-01,1.290E+01,2.500E-01
1.8E+01,5.012E+03,-2.358E-01,1.035E+01,2.500E-01
1.9E+01,6.310E+03,-1.806E-01,8.288E+00,2.500E-01
2.0E+01,7.943E+03,-1.446E-01,6.626E+00,2.500E-01
2.1E+01,1.000E+04,-1.214E-01,5.275E+00,2.500E-01
2.2E+01,1.259E+04,-1.052E-01,4.188E+00,2.500E-01
2.3E+01,1.585E+04,-9.554E-02,3.354E+00,2.500E-01
2.4E+01,1.995E+04,-8.499E-02,2.677E+00,2.500E-01
2.5E+01,2.512E+04,-8.436E-02,2.103E+00,2.500E-01
2.6E+01,3.162E+04,-7.965E-02,1.665E+00,2.500E-01
2.7E+01,3.981E+04,-8.250E-02,1.266E+00,2.500E-01
2.8E+01,5.012E+04,-8.085E-02,9.873E-01,2.500E-01
2.9E+01,6.310E+04,-1.055E-01,7.142E-01,2.500E-01
3.0E+01,7.943E+04,-1.028E-01,5.748E-01,2.500E-01
3.1E+01,1.000E+05,-9.757E-02,4.339E-01,2.500E-01
3.2E+01,1.259E+05,-9.645E-02,3.296E-01,2.500E-01
3.3E+01,1.585E+05,-1.007E-01,2.685E-01,2.500E-01
3.4E+01,1.995E+05,-1.010E-01,2.245E-01,2.500E-01
3.5E+01,2.512E+05,-1.131E-01,1.855E-01,2.500E-01
3.6E+01,3.162E+05,-1.178E-01,1.672E-01,2.500E-01
3.7E+01,3.981E+05,-1.154E-01,1.544E-01,2.500E-01
3.8E+01,5.012E+05,-1.129E-01,1.382E-01,2.500E-01
3.9E+01,6.310E+05,-6.638E-02,1.662E-01,2.500E-01
4.0E+01,7.943E+05,-5.874E-02,1.580E-01,2.500E-01
4.1E+01,1.000E+06,-5.328E-02,1.719E-01,2.500E-01
