in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.0E+00,1.000E+02,-2.544E+01,8.634E+01,2.500E-01
2.0E+00,1.259E+02,-2.344E+01,8.561E+01,2.500E-01
3.0E+00,1.585E+02,-2.145E+01,8.458E+01,2.500E-01
4.0E+00,1.995E+02,-1.950E+01,8.326E+01,2.500E-01
5.0E+00,2.512E+02,-1.750E+01,8.173E+01,2.500E-01
6.0E+00,3.162E+02,-1.557E+01,7.987E+01,2.500E-01
7.0E+00,3.981E+02,-1.366E+01,7.739E+01,2.500E-01
8.0E+00,5.012E+02,-1.174E+01,7.437E+01,2.500E-01
9.0E+00,6.310E+02,-9.964E+00,7.080E+01,2.500E-01
1.0E+01,7.943E+02,-8.231E+00,6.650E+01,2.500E-01
1.1E+01,1.000E+03,-6.623E+00,6.142E+01,2.500E-01
1.2E+01,1.259E+03,-5.139E+00,5.576E+01,2.500E-01
1.3E+01,1.585E+03,-3.883E+00,4.949E+01,2.500E-01
1.4E+01,1.995E+03,-2.834E+00,4.309E+01,2.500E-01
1.5E+01,2.512E+03,-2.012E+00,3.678E+01,2.500E-01
1.6E+01,3.162E+03,-1.383E+00,3.076E+01,2.500E-01
1.7E+01,3.981E+03,-9.493E-01,2.542E+01,2.500E-01
1.8E+01,5.012E+03,-6.339E-01,2.072E+01,2.500E-01
1.9E+01,6.310E+03,-4.228E-01,1.680E+01,2.500E-01
2.0E+01,7.943E+03,-2.849E-01,1.353E+01,2.500E-01
2.1E+01,1.000E+04,-1.919E-01,1.085E+01,2.500E-01
2.2E+01,1.259E+04,-1.298E-01,8.648E+00,2.500E-01
2.3E+01,1.585E+04,-9.379E-02,6.902E+00,2.500E-01
2.4E+01,1.995E+04,-6.451E-02,5.511E+00,2.500E-01
2.5E+01,2.512E+04,-4.493E-02,4.355E+00,2.500E-01
2.6E+01,3.162E+04,-3.590E-02,3.444E+00,2.500E-01
2.7E+01,3.981E+04,-2.776E-02,2.713E+00,2.500E-01
2.8E+01,5.012E+04,-3.138E-02,2.131E+00,2.500E-01
2.9E+01,6.310E+04,-5.022E-02,1.664E+00,2.500E-01
3.0E+01,7.943E+04,-5.009E-02,1.304E+00,2.500E-01
3.1E+01,1.000E+05,-3.750E-02,1.008E+00,2.500E-01
3.2E+01,1.259E+05,-3.841E-02,8.025E-01,2.500E-01
3.3E+01,1.585E+05,-4.418E-02,6.157E-01,2.500E-01
3.4E+01,1.995E+05,-4.253E-02,5.053E-01,2.500E-01
3.5E+01,2.512E+05,-5.983E-02,4.031E-01,2.500E-01
3.6E+01,3.162E+05,-5.872E-02,3.306E-01,2.500E-01
3.7E+01,3.981E+05,-6.493E-02,2.909E-01,2.500E-01
3.8E+01,5.012E+05,-6.346E-02,2.742E-01,2.500E-01
3.9E+01,6.310E+05,-5.304E-02,2.475E-01,2.500E-01
4.0E+01,7.943E+05,-4.235E-02,2.674E-01,2.500E-01
4.1E+01,1.000E+06,-3.253E-02,2.780E-01,2.500E-01
