in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.0E+00,1.000E+02,-3.500E+01,8.883E+01,2.500E-01
2.0E+00,1.259E+02,-3.308E+01,8.812E+01,2.500E-01
3.0E+00,1.585E+02,-3.110E+01,8.807E+01,2.500E-01
4.0E+00,1.995E+02,-2.909E+01,8.730E+01,2.500E-01
5.0E+00,2.512E+02,-2.710E+01,8.713E+01,2.500E-01
6.0E+00,3.162E+02,-2.506E+01,8.615E+01,2.500E-01
7.0E+00,3.981E+02,-2.273E+01,8.519E+01,2.500E-01
8.0E+00,5.012E+02,-2.077E+01,8.419E+01,2.500E-01
9.0E+00,6.310E+02,-1.876E+01,8.284E+01,2.500E-01
1.0E+01,7.943E+02,-1.685E+01,8.117E+01,2.500E-01
1.1E+01,1.000E+03,-1.488E+01,7.890E+01,2.500E-01
1.2E+01,1.259E+03,-1.295E+01,7.639E+01,2.500E-01
1.3E+01,1.585E+03,-1.116E+01,7.306E+01,2.500E-01
1.4E+01,1.995E+03,-9.352E+00,6.920E+01,2.500E-01
1.5E+01,2.512E+03,-7.675E+00,6.481E+01,2.500E-01
1.6E+01,3.162E+03,-6.020E+00,5.973E+01,2.500E-01
1.7E+01,3.981E+03,-4.591E+00,5.387E+01,2.500E-01
1.8E+01,5.012E+03,-3.473E+00,4.715E+01,2.500E-01
1.9E+01,6.310E+03,-2.464E+00,4.067E+01,2.500E-01
2.0E+01,7.943E+03,-1.669E+00,3.457E+01,2.500E-01
2.1E+01,1.000E+04,-1.205E+00,2.852E+01,2.500E-01
2.2E+01,1.259E+04,-7.783E-01,2.349E+01,2.500E-01
2.3E+01,1.585E+04,-4.903E-01,1.913E+01,2.500E-01
2.4E+01,1.995E+04,-2.813E-01,1.541E+01,2.500E-01
2.5E+01,2.512E+04,-2.622E-01,1.248E+01,2.500E-01
2.6E+01,3.162E+04,-1.709E-01,9.961E+00,2.500E-01
2.7E+01,3.981E+04,-1.071E-01,7.980E+00,2.500E-01
2.8E+01,5.012E+04,-7.287E-02,6.869E+00,2.500E-01
2.9E+01,6.310E+04,-4.342E-02,4.658E+00,2.500E-01
3.0E+01,7.943E+04,-1.706E-02,3.890E+00,2.500E-01
3.1E+01,1.000E+05,5.850E-03,3.241E+00,2.500E-01
3.2E+01,1.259E+05,-3.633E-02,2.559E+00,2.500E-01
3.3E+01,1.585E+05,-2.956E-02,2.131E+00,2.500E-01
3.4E+01,1.995E+05,-3.602E-02,1.684E+00,2.500E-01
3.5E+01,2.512E+05,-3.972E-02,1.339E+00,2.500E-01
3.6E+01,3.162E+05,-3.100E-02,1.118E+00,2.500E-01
3.7E+01,3.981E+05,-9.022E-03,9.223E-01,2.500E-01
3.8E+01,5.012E+05,2.801E-03,7.760E-01,2.500E-01
3.9E+01,6.310E+05,-3.892E-03,6.120E-01,2.500E-01
4.0E+01,7.943E+05,3.497E-02,5.725E-01,2.500E-01
4.1E+01,1.000E+06,2.708E-02,4.938E-01,2.500E-01
