 R2(ohm)    C_min(uF)    C_max(uF)  works?
       0           --           --  no
      20           --           --  no
      40           --           --  no
      60           --           --  no
      80           --           --  no
     100           --           --  no
     120           --           --  no
     140           --           --  no
     160           --           --  no
     180           --           --  no
     200           --           --  no
     220           --           --  no
     240           --           --  no
     260           --           --  no
     280           --           --  no
     300           --           --  no
     320        0.947        3.004  yes
     340        0.665        2.787  yes
     360        0.540        2.601  yes
     380        0.465        2.438  yes
     400        0.414        2.295  yes
     420        0.377        2.169  yes
     440        0.348        2.056  yes
     460        0.325        1.954  yes
     480        0.306        1.862  yes
     500        0.290        1.779  yes
     520        0.276        1.703  yes
     540        0.264        1.634  yes
     560        0.254        1.570  yes
     580        0.245        1.510  yes
     600        0.236        1.456  yes
     620        0.229        1.405  yes
     640        0.222        1.358  yes
     660        0.216        1.314  yes
     680        0.211        1.272  yes
     700        0.206        1.234  yes
     720        0.201        1.197  yes
     740        0.197        1.163  yes
     760        0.193        1.131  yes
     780        0.189        1.100  yes
     800        0.186        1.072  yes
     820        0.183        1.044  yes
     840        0.180        1.018  yes
     860        0.177        0.994  yes
     880        0.174        0.970  yes
     900        0.172        0.948  yes
     920        0.169        0.927  yes
     940        0.167        0.906  yes
     960        0.166        0.887  yes
     980        0.164        0.868  yes

